id,job
1,Marketing Assistant
2,VP Sales
3,Biostatistician IV
4,Account Representative
5,VP Marketing
6,Environmental Specialist
7,Software Consultant
8,Office Assistant III
9,Information Systems Manager
10,Desktop Support Technician
11,Financial Advisor
12,Computer Systems Analyst
13,Automation Specialist
14,Help Desk Technician
15,Office Assistant II
16,VP Quality Control
17,Office Assistant IV
18,Financial Analyst
19,Electrical Engineer
20,Chemical Engineer
21,Social Worker
22,VP Product Management
23,Administrative Officer
24,Paralegal
25,Actuary
26,Database Administrator
27,Nuclear Power Engineer
28,Database Administrator II
29,GIS Technical Architect
30,Human Resources Assistant
31,Marketing Manager
32,Structural Engineer
33,General Manager
34,Chief Design Engineer
35,Senior Quality Engineer
36,Pharmacist
37,Accounting Assistant
38,Web Developer I
39,Automation Specialist II
40,Assistant Manager
41,Director of Sales
42,Systems Administrator
43,Geological Engineer
